Месяц,Мсц (цифрой),Дата,Сумма,Кошелек,Направление бизнеса,[counterparty_1ef22baea0],Назначение платежа,Статья
Апрель,4,23.04.2024,"-965,96",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,23.04.2024,"-705,41",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Апрель,4,23.04.2024,"-2 246,71",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,24.04.2024,"-824,80",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,24.04.2024,"54 979,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,24.04.2024,"-86 000,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Апрель,4,25.04.2024,"-755,64",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,25.04.2024,"50 366,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,25.04.2024,"-1 499,72",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-288,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,24.04.2024,"-368,13",Тинькофф,Общее,[counterparty_b2323408fa],,Оплата поставщикам 
Апрель,4,25.04.2024,"-150,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-270,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-120,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-200,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-221,19",Тинькофф,Общее,[counterparty_b2323408fa],,Оплата поставщикам 
Апрель,4,25.04.2024,"-310,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-220,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-220,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-350,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-34 800,00",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Апрель,4,25.04.2024,"-49 450,81",Тинькофф,Общее,[counterparty_c4e92b27e2],,Оплата поставщикам 
Апрель,4,25.04.2024,"-85 000,00",Тинькофф,Общее,[counterparty_347b901ee4],,Контекстная реклама
Апрель,4,25.04.2024,"-60 705,68",Тинькофф,Общее,[counterparty_fb5384e8b9],,Оплата поставщикам 
Апрель,4,25.04.2024,"-29 334,62",Тинькофф,Общее,[counterparty_8e70032df8],,Оплата поставщикам 
Апрель,4,25.04.2024,"-105 278,10",Тинькофф,Общее,[counterparty_dc430ed78e],,Оплата поставщикам 
Апрель,4,25.04.2024,"-6 000,00",Тинькофф,Общее,[counterparty_1c967c7874],,Комиссия агрегатору
Апрель,4,25.04.2024,"-75 000,00",Тинькофф,Общее,[counterparty_cd0c8c2f69],,Услуги ФД и НК
Апрель,4,25.04.2024,"-29 523,71",Тинькофф,Общее,[counterparty_19f4d4c15b],,Оплата поставщикам 
Апрель,4,25.04.2024,"-250,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,25.04.2024,"-1 579,95",Тинькофф,Общее,[counterparty_d7a35ccc36],,Расходы на питание персонала
Апрель,4,25.04.2024,"-6 736,06",Тинькофф,Общее,[counterparty_d7a35ccc36],,Оплата поставщикам 
Апрель,4,25.04.2024,"-461,66",Тинькофф,Общее,[counterparty_d7a35ccc36],,Содержание торговых точек
Апрель,4,26.04.2024,"-854,08",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,26.04.2024,"56 930,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,26.04.2024,"-19 000,00",Тинькофф,Общее,,,Выбытие — Перевод между счетами
Апрель,4,26.04.2024,"-890,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,26.04.2024,"71 000,00",Тинькофф,Общее,,,Поступление — Перевод между счетами
Апрель,4,26.04.2024,"829,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,26.04.2024,"-3,32",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
Апрель,4,26.04.2024,"-730,00",Тинькофф,Общее,,[private_text_d704a344cc],Расходы на персонал
Апрель,4,26.04.2024,"999,00",Тинькофф,Клиенты-физ.лица,[counterparty_db1aef506b],,Поступление денег с торг. точек
Апрель,4,26.04.2024,"-4,00",Тинькофф,Общее,[counterparty_831a0f4ab6],,Эквайринг
