,31.01.24,29.02.24,31.03.24,30.04.24,31.05.24,,,,,,30.11.,31.12.,Горизонтальный анализ,,,,,Вертикальный анализ (доля в структуре баланса),,,
Обязательства,2 819 888,3 132 943,2 929 767,2 797 530,2 787 485,2 695 076,2 419 694,2 355 636,2 192 522,2 323 675,2 093 045,2 112 827,2 819 888,3 132 943,рост на,313 055,11%,71%,70%,падение на,-1%
"Долгосрочные 
(свыше 12 месяцев)",2 178 344,2 138 345,2 099 482,1 959 351,1 816 250,1 672 055,1 526 892,1 381 118,1 234 288,1 091 878,948 278,796 106,2 178 344,2 138 345,падение на,-39 999,-2%,55%,48%,падение на,-7%
Кредиты банков,2 178 344,2 138 345,2 099 482,1 959 351,1 816 250,1 672 055,1 526 892,1 381 118,1 234 288,1 091 878,948 278,796 106,2 178 344,2 138 345,падение на,-39 999,-2%,55%,48%,падение на,-7%
Займы,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Задолженность по лизингу,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
"Краткосрочные
(менее 12 месяцев)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Кредиты банков,0,0,0,0,0,0,0,0,0,0,0,0,2 178 344,2 138 345,падение на,-39 999,-2%,55%,48%,падение на,-7%
Займы,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Овердрафт,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,0%,0%,,0%
Кредиторская задолж-ть,641 544,994 598,830 285,838 179,971 235,1 023 021,892 802,974 518,958 234,1 231 797,1 144 767,1 316 721,641 544,994 598,рост на,353 053,55%,16%,22%,рост на,6%
Авансы клиентов,0,0,0,0,0,0,0,0,0,,0,0,0,0,,0,,0%,0%,,0%
Задолженность перед поставщиками,468 211,677 331,399 465,590 383,538 324,529 343,498 736,747 563,485 063,817 879,753 582,898 749,468 211,677 331,рост на,209 119,45%,12%,15%,рост на,3%
Задолженность перед сотрудниками,39 000,79 600,140 320,64 240,102 800,184 011,109 344,52 177,141 338,71 364,158 685,41 972,39 000,79 600,рост на,40 600,104%,1%,2%,рост на,1%
Депозиты сотрудников,105 000,109 000,110 500,108 500,112 000,97 500,96 500,87 500,107 500,138 500,130 500,131 000,105 000,109 000,рост на,4 000,4%,3%,2%,падение на,0%
Задолженность по налогам и сборам,4 333,8 667,0,4 056,8 111,12 167,16 222,20 278,24 333,24 054,0,0,4 333,8 667,рост на,4 334,100%,0%,0%,рост на,0%
Задолженность перед собственниками,25 000,120 000,180 000,71 000,210 000,200 000,172 000,67 000,200 000,180 000,102 000,245 000,25 000,120 000,рост на,95 000,380%,1%,3%,рост на,2%
Накопительный фонд задолженность,,,,,,,,,,,,,,,,0,,0%,0%,,0%
,,,,,,,,,,,,,,,,0,,0%,0%,,0%
Проверка (Активы = Пассивы),276 839,116 939,19 169,28 683,20 086,1 212,0,-133 849,-70 057,-318,-178 065,-401 461,276 839,116 939,падение на,-159 900,-58%,,,,
,,"2,62%","0,42%","0,63%","0,42%","0,02%","0,00%","-2,65%","-1,37%","-0,01%","-3,37%","-6,93%",,,,0,,,,,
Финансовые показатели,,,,,,,,,,,,,,,,0,,,,,
Оборотные активы,709 287,1 198 263,1 236 541,1 272 470,1 621 359,1 878 767,1 786 262,1 695 718,1 858 530,1 702 588,1 438 418,1 772 062,754 787,1 198 263,рост на,443 476,59%,,,,
Оборотный капитал,-153 563,-197 124,-197 983,-160 451,96 682,-192 272,42 409,244 216,-62 417,-154 403,-241 757,-118 917,-153 563,-197 124,падение на,-43 561,28%,,,,
,,,,,,,,,,,,,,,,,,,,,
Текущая ликвидность,,,,,,,,,,,,,,,,,,,,,
Коэффициент текущей ликвидности,"1,18","1,20","1,49","1,52","1,67","1,84","2,00","1,74","1,94","1,87","1,78","1,80","1,18","1,20",рост на,"0,03","0,02",,,,
