dish_name,period_start,period_end,dish_group_top,dish_category,orders,dish_amount,revenue,gross_sum,product_cost,food_cost_share_calc,gross_margin_calc,gross_margin_share_calc,product_profit_api,avg_check
Запеченный с угрем,2025-11-01,2026-05-17,Роллы,Роллы,53.0,59.0,18781.449999999997,21645.0,5982.39,0.3185265248423312,12799.059999999998,0.6814734751576689,12799.060000000001,354.3669811320754
Тайская креветка,2025-11-01,2026-05-17,Роллы,Роллы,65.0,65.0,18760.039999999997,23230.0,5585.949999999999,0.29775789390640955,13174.089999999998,0.7022421060935904,13174.09,288.616
Якудза,2025-11-01,2026-05-17,Роллы,Роллы,61.0,62.0,18712.760000000002,23025.0,6159.639999999999,0.32916790468108387,12553.120000000003,0.6708320953189162,12553.119999999999,306.7665573770492
Унагияма,2025-11-01,2026-05-17,Роллы,Роллы,52.0,65.0,18620.33,24701.0,4218.295,0.2265424404400996,14402.035000000002,0.7734575595599004,14402.034999999998,358.08326923076925
Хокусан,2025-11-01,2026-05-17,Роллы,Роллы,50.0,52.0,16966.92,18915.0,6522.049999999999,0.3843979932716132,10444.869999999999,0.6156020067283867,10444.87,339.3384
Доставка 450,2025-11-01,2026-05-17,Доставка,Услуги доставки,48.0,52.0,16917.15,23400.0,0.0,0.0,16917.15,1.0,16917.15,352.440625
Тори Яки,2025-11-01,2026-05-17,Роллы,Роллы,55.0,57.0,15457.22,19360.0,5417.56,0.35048734507239987,10039.66,0.6495126549276002,10039.66,281.0403636363636
Терияки,2025-11-01,2026-05-17,Дополнительно,Все блюда,343.0,413.0,15117.44,19295.0,4039.4897499999997,0.26720726194382116,11077.950250000002,0.732792738056179,11077.950250000002,44.074169096209914
Добрый Лимон-лайм,2025-11-01,2026-05-17,Напитки,(пусто),140.0,154.0,14695.980000000001,18740.0,9370.64,0.6376328764737023,5325.340000000002,0.36236712352629774,5325.339999999999,104.97128571428573
Морс облепиха,2025-11-01,2026-05-17,Напитки,Напитки,83.0,103.0,14558.130000000001,17850.0,7129.400000000001,0.4897194900718705,7428.7300000000005,0.5102805099281295,7428.7300000000005,175.39915662650603
Пикантная креветка,2025-11-01,2026-05-17,Роллы,Роллы,38.0,38.0,14136.1,19744.0,4917.27,0.3478519535091008,9218.83,0.6521480464908992,9218.83,372.0026315789474
Яритэ,2025-11-01,2026-05-17,Роллы,Роллы,53.0,53.0,14042.739999999998,16940.0,7586.07,0.5402129498943938,6456.669999999998,0.4597870501056061,6456.67,264.957358490566
Акацуки,2025-11-01,2026-05-17,Роллы,Роллы,41.0,41.0,13736.109999999999,18775.0,4471.4800000000005,0.32552738730251873,9264.629999999997,0.6744726126974812,9264.63,335.0270731707317
Небраска,2025-11-01,2026-05-17,Роллы,Роллы,41.0,41.0,13454.599999999999,15425.0,5146.679999999999,0.3825219627487997,8307.919999999998,0.6174780372512003,8307.92,328.16097560975606
Доставка 130,2025-11-01,2026-05-17,Доставка,Услуги доставки,133.0,169.0,13364.4,21970.0,0.0,0.0,13364.4,1.0,13364.4,100.48421052631579
Кензо,2025-11-01,2026-05-17,Роллы,Роллы,40.0,40.0,13062.19,17885.0,4749.48,0.36360518412302983,8312.710000000001,0.6363948158769701,8312.71,326.55475
Фукусима,2025-11-01,2026-05-17,Роллы,Роллы,28.0,28.0,13033.39,15379.0,4000.609999999999,0.3069508393441767,9032.78,0.6930491606558233,9032.78,465.4782142857143
