promo_set_name,promo_product_id,promo_deleted,promo_in_menu,promo_default_sale_price,promo_group_name,promo_category_name,discovery_scope,structure_row_type,component_group_name,component_name,component_product_id,component_type,component_deleted,modifier_level,modifier_minimum_amount,modifier_maximum_amount,modifier_default_amount,modifier_free_of_charge_amount,sales_orders,sales_amount,sales_revenue,sales_product_cost,component_has_own_cost,cooking_place,restaurant_section,source,comment,component_olap_top_group,component_olap_dish_group,component_olap_category,assembly_chart_count,assembly_item_count,prepared_chart_count
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пиццы,Деревенская 30см и Пепперони лайт 30см,6c90447f-723a-42a7-a9df-4744732a92d1,MODIFIER,False,2,0,0,1,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,promo_product,,Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,DISH,False,0,,,,,0.0,0.0,0.0,0.0,False,,,products/list; OLAP parent line; assemblyCharts/getTree,"assemblyCharts: charts=0, items=0, prepared=0 Тестовая позиция; defaultIncludedInMenu=false; продаж за период не найдено.",,,,0,0,0
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Пицца 30см на выбор,Пицца 30см на выбор,c3284cdb-ffb0-4e47-a213-e6ae84f01dfd,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,4 мяса 30см,39ba6c71-8245-4275-ad43-c4bb5a6a8094,MODIFIER,False,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Пицца 30см на выбор,Сырная 30см,55950d41-4c90-4cab-9ddc-02981316fbf8,MODIFIER,True,2,0,0,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,modifier_group,Сет в наборе,Сет в наборе,5e23f834-94b3-46a4-9661-04a405477f6d,GROUP,False,1,1,1,0,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №2 ТЕСТ,6c32635e-0a7d-4a02-a397-495bd7e3c495,False,False,1399,Акционные предложения,Акционные товары,active_group;active_category,modifier_option,Сет в наборе,Сет Манхэттен,2985deba-77df-4ac9-9fc5-1f5adf9c4940,MODIFIER,True,2,0,0,1,0,,,,,,,,products/list modifiers,Настройка модификаторов в справочнике продуктов.,,,,,,
Акционный набор №3 (Хит),6c00f146-92b5-484f-bed3-d9733812dcfc,True,False,2399,Комбо Новинки,,name_match_outside_active_group,promo_product,,Акционный набор №3 (Хит),6c00f146-92b5-484f-bed3-d9733812dcfc,PREPARED,True,0,,,,,0.0,0.0,0.0,0.0,False,,,products/list; OLAP parent line; assemblyCharts/getTree,"assemblyCharts: charts=1, items=3, prepared=1 Удаленная/историческая позиция; не включать в текущий расчет без отдельной исторической задачи.",,,,1,3,1
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Пицца 30см на выбор,Пепперони лайт 30см,fd44c116-d10b-4de7-af9d-331d757e3401,MODIFIER,False,,,,,,208.0,209.0,0.0,25125.51666666667,True,Пицца,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Пицца 30см на выбор,Пицца 30см на выбор,Пицца,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Сет в наборе,Сет Эдо,713ab914-1ec9-4448-a5c2-85110f6361f3,MODIFIER,False,,,,,,578.0,581.0,0.0,202505.22883333333,True,Суши,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Сет в наборе,Сет в наборе,Сеты,,,
Акционный набор №1,82fd608e-0b87-4d42-9e90-f67d4b7ee20e,False,True,1099,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Пицца 30см на выбор,Цыпленок гриль 30 см,f9b8f343-a91b-4784-bc0d-4ccd615f081f,MODIFIER,False,,,,,,372.0,372.0,0.0,48106.66690476191,True,Пицца,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Пицца 30см на выбор,Пицца 30см на выбор,Пицца,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Пицца 30см на выбор,4 мяса 30см,39ba6c71-8245-4275-ad43-c4bb5a6a8094,MODIFIER,False,,,,,,364.0,367.0,0.0,58087.13575,True,Пицца,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Пицца 30см на выбор,Пицца 30см на выбор,Пицца,,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Пицца 30см на выбор,Пикник 30 см,fb783a67-4aa7-4561-b8b9-2f767710f423,MODIFIER,False,,,,,,163.0,164.0,0.0,23580.4,True,Пицца,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Пицца 30см на выбор,Пицца 30см на выбор,(пусто),,,
Акционный набор №2,21d94743-32f2-460b-8f09-10c9f6e71c80,False,True,1999,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Сет в наборе,Сет Пятница,d54ffd0d-058a-4bf9-aeb0-459975034e25,MODIFIER,False,,,,,,525.0,531.0,0.0,243748.88033333336,True,Суши,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Сет в наборе,Сет в наборе,(пусто),,,
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Пиццы,Деревенская 30см и Пепперони лайт 30см,6c90447f-723a-42a7-a9df-4744732a92d1,MODIFIER,False,,,,,,234.0,238.0,0.0,64169.75416666667,True,Пицца,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Пиццы,Пиццы,Пицца,,,
Акционный набор №3,18c85c8e-e8ad-4db9-9ffd-bc82f76bb7e4,False,True,2399,Акционные предложения,Акционные товары,active_group;active_category,sold_component,Сет в наборе,Сет Большой куш,173a2f48-4494-4fb4-91ef-cb006b99ed66,MODIFIER,False,,,,,,234.0,238.0,0.0,177037.8311666667,True,Суши,Бар,"OLAP SALES groupRow=SoldWithDish,DishName,DishId,DishGroup,CookingPlace","Фактически проданный компонент, связанный iiko с набором через SoldWithDish.",Сет в наборе,Сет в наборе,Сеты,,,
