Год,Мсц (цифрой),Дата,Сумма,Контрагент,Назначение платежа,Статья,Платеж/поступл
,,20.11.2024,"-304,00",[counterparty_hash:2a84eb0be0],[private_purpose_hash:6656f21680],Содержание торговых точек,
,,20.11.2024,"-2 400,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:f858949a5b],Зарплата производственного персонала,
,,20.11.2024,"6 507,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,20.11.2024,"-26,02",[counterparty_hash:a079b1ede6],,Эквайринг,
,,20.11.2024,"62 266,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,20.11.2024,"-934,10",[counterparty_hash:a079b1ede6],,Эквайринг,
,,20.11.2024,"1 665,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,20.11.2024,"-6,66",[counterparty_hash:a079b1ede6],,Эквайринг,
,,20.11.2024,"500,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,20.11.2024,"-2,00",[counterparty_hash:a079b1ede6],,Эквайринг,
,,21.11.2024,"5 000,00",,,Поступление — Перевод между счетами,
,,21.11.2024,"13 764,42",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,21.11.2024,"-34,18",[counterparty_hash:a079b1ede6],,Эквайринг,
,,21.11.2024,"52 768,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,21.11.2024,"-791,62",[counterparty_hash:a079b1ede6],,Эквайринг,
,,21.11.2024,"-5 000,00",,,Выбытие — Перевод между счетами,
,,21.11.2024,"-1 500,00",[counterparty_hash:856bc7fd96],[private_purpose_hash:1fca17eeaa],Курьерская служба -,
,,21.11.2024,"723,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,21.11.2024,"-2,89",[counterparty_hash:a079b1ede6],,Эквайринг,
,,21.11.2024,"1 430,00",[counterparty_hash:335b2a2e9a],,Поступление денег с торг. точек,
,,21.11.2024,"-5,72",[counterparty_hash:a079b1ede6],,Эквайринг,
