,,,,,,,,,
Контрагент,Статья,Номер счета,Сумма план,Дата планируемой оплаты,Комментарий,,Год план,Месяц план,Номер недели план
[counterparty_hash:5825737bc2],Прочие маркетинговые услуги,,"р.28 000,00",2024-01-16,,,2024,1,
[counterparty_hash:a079b1ede6],Погашение овердрафта,,"р.220 751,00",2024-01-02,,,2024,1,
[counterparty_hash:a079b1ede6],Погашение овердрафта,,"р.293 661,00",2024-01-09,,,2024,1,
[counterparty_hash:a079b1ede6],Погашение овердрафта,,"р.294 699,00",2024-01-16,,,2024,1,
[counterparty_hash:a079b1ede6],Погашение овердрафта,,"р.311 763,00",2024-01-23,,,2024,1,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.125 000,00",2024-02-08,,,2024,2,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.110 000,00",2024-02-15,,,2024,2,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.110 000,00",2024-02-22,,,2024,2,
[counterparty_hash:01761130fc],Оплата поставщикам ,,"р.120 000,00",2024-02-29,,,2024,2,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.80 000,00",2024-02-08,,,2024,2,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.80 000,00",2024-02-15,,,2024,2,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.90 000,00",2024-02-22,,,2024,2,
[counterparty_hash:81088c4e1c],Оплата поставщикам ,,"р.100 000,00",29/2/2024,,,2024,2,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.22 000,00",2024-02-08,,,2024,2,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.25 000,00",2024-02-15,,,2024,2,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.30 000,00",2024-02-22,,,2024,2,
[counterparty_hash:55d2a5f343],Оплата поставщикам ,,"р.40 000,00",29/2/2024,,,2024,2,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.27 000,00",2024-02-08,,,2024,2,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.25 000,00",2024-02-15,,,2024,2,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.30 000,00",2024-02-22,,,2024,2,
[counterparty_hash:4b0e39f45b],Оплата поставщикам ,,"р.30 000,00",2024-02-29,,,2024,2,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.23 700,00",2024-02-05,,,2024,2,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.26 595,00",2024-02-08,,,2024,2,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.25 000,00",2024-02-15,,,2024,2,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.30 000,00",2024-02-22,,,2024,2,
[counterparty_hash:c7da8c8c1f],Оплата поставщикам ,,"р.35 000,00",2024-02-29,,,2024,2,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.30 000,00",2024-02-08,,,2024,2,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.30 000,00",2024-02-15,,,2024,2,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.30 000,00",2024-02-22,,,2024,2,
[counterparty_hash:acffbdf399],Оплата поставщикам ,,"р.35 000,00",2024-02-29,,,2024,2,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",2024-02-08,,,2024,2,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",2024-02-15,,,2024,2,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",2024-02-22,,,2024,2,
[counterparty_hash:64b5ca4d90],Оплата поставщикам ,,"р.5 000,00",2024-02-29,,,2024,2,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.6 000,00",2024-02-08,,,2024,2,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.6 000,00",2024-02-15,,,2024,2,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.6 000,00",2024-02-22,,,2024,2,
[counterparty_hash:1340ea64e9],Оплата поставщикам ,,"р.6 000,00",2024-02-29,,,2024,2,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.53 000,00",2024-02-08,,,2024,2,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.53 000,00",2024-02-15,,,2024,2,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.80 000,00",2024-02-22,,,2024,2,
[counterparty_hash:2a84eb0be0],Оплата поставщикам ,,"р.65 000,00",2024-02-29,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",2024-02-08,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",2024-02-15,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.160 000,00",2024-02-22,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата производственного персонала,,"р.170 000,00",2024-02-29,,,2024,2,
[counterparty_hash:856bc7fd96],Зарплата административного персонала,,"р.42 500,00",2024-02-13,,,2024,2,
[counterparty_hash:913fe52b19],Зарплата административного персонала,,"р.40 000,00",2024-02-03,,,2024,2,
[counterparty_hash:913fe52b19],Зарплата административного персонала,,"р.30 000,00",2024-02-09,,,2024,2,
[counterparty_hash:913fe52b19],Зарплата административного персонала,,"р.13 000,00",2024-02-22,,,2024,2,
