dish,category,band,verdict,units_standalone,recent3_units,units_inset,set_phantom,in_sets_units,n_sets,revenue,margin,margin_pct,months_active
Горячий с лососем,роллы,>10/мес,Оставить,145,46,0,49,49,1,47786,33093,69.3,7
Баварская,пицца,>10/мес,Оставить,148,49,0,0,0,0,111559,77358,69.3,7
Честер,роллы,>10/мес,Оставить,153,50,0,3034,3034,6,40762,31261,76.7,7
Запеченная Филадельфия,роллы,>10/мес,Оставить,153,48,0,182,182,1,53683,33663,62.7,7
Шаурма от шефа,шаурма,>10/мес,Оставить,154,43,0,0,0,0,88158,58482,66.3,7
Горячий с копченым лососем,роллы,>10/мес,Оставить,162,54,0,0,0,0,52877,38657,73.1,7
Деревенская,пицца,>10/мес,Оставить,168,57,0,0,0,0,111353,83272,74.8,7
Соус кисло-сладкий Heinz,соусы,>10/мес,Оставить,169,55,0,0,0,0,4526,3240,71.6,7
Морская,пицца,>10/мес,Оставить,169,57,0,0,0,0,154379,96200,62.3,7
Запеченная Калифорния,роллы,>10/мес,Оставить,170,52,0,2480,2480,4,45001,30371,67.5,7
Мясная,пицца,>10/мес,Оставить,172,60,0,0,0,0,158285,114878,72.6,7
Мидии запеченные под соусом яки,закуски,>10/мес,Оставить,175,63,0,0,0,0,57643,38585,66.9,7
Мини Мясная,пицца,>10/мес,Оставить,175,59,0,0,0,0,97988,68115,69.5,7
Калифорния с крабом,роллы,>10/мес,Оставить,180,74,0,787,787,4,49009,37558,76.6,7
Соус красный,соусы,>10/мес,Оставить,181,85,0,0,0,0,20826,18241,87.6,7
4 сыра,пицца,>10/мес,Оставить,185,48,0,0,0,0,140486,101774,72.4,7
Яки краб,роллы,>10/мес,Оставить,189,71,0,1937,1937,2,41692,25880,62.1,7
Широкий с креветкой,роллы,>10/мес,Оставить,189,68,0,0,0,0,62174,43863,70.5,7
Мидии запеченные под соусом спайси,закуски,>10/мес,Оставить,191,61,0,0,0,0,61823,41331,66.9,7
Шаурма с креветкой,шаурма,>10/мес,Оставить,192,63,0,0,0,0,92902,62700,67.5,7
Фруктовый микс,роллы,>10/мес,Оставить,197,59,0,0,0,0,66088,46912,71.0,7
Филадельфия с копченым лососем,роллы,>10/мес,Оставить,202,74,0,0,0,0,76906,51348,66.8,7
Барбекю,пицца,>10/мес,Оставить,203,68,0,0,0,0,155557,107030,68.8,7
Классический с огурцом,роллы,>10/мес,Оставить,210,87,0,246,246,2,28271,22188,78.5,7
Жареная калифорния,роллы,>10/мес,Оставить,228,82,0,3412,3412,8,64173,52138,81.2,7
Мидии запеченные  под соусом том-ям,закуски,>10/мес,Оставить,244,76,0,0,0,0,67973,48294,71.0,7
Фиеста,роллы,>10/мес,Оставить,269,82,0,2040,2040,2,88661,58438,65.9,7
Жареный с креветкой,роллы,>10/мес,Оставить,272,109,0,511,511,3,81966,60563,73.9,7
Пепперони,пицца,>10/мес,Оставить,277,79,0,0,0,0,229574,162501,70.8,7
Chicken,пицца,>10/мес,Оставить,287,98,0,0,0,0,220468,151239,68.6,7
Калифорния с креветкой,роллы,>10/мес,Оставить,289,89,0,306,306,2,84443,57349,67.9,7
Пеперони Лайт,пицца,>10/мес,Оставить,291,118,0,574,574,2,130370,94767,72.7,7
Картофель по-деревенски,закуски,>10/мес,Оставить,297,82,0,0,0,0,50277,38228,76.0,7
Маргарита,пицца,>10/мес,Оставить,299,130,0,0,0,0,132005,90393,68.5,7
Сырная,пицца,>10/мес,Оставить,307,130,0,0,0,0,158477,116189,73.3,7
Пицца Мясника,пицца,>10/мес,Оставить,315,92,0,0,0,0,204928,136949,66.8,7
Цыпленок Том Ям,пицца,>10/мес,Оставить,318,85,0,0,0,0,170080,121837,71.6,7
Луковые кольца,закуски,>10/мес,Оставить,329,127,0,0,0,0,49599,37823,76.3,7
Шаурма-шашлык,шаурма,>10/мес,Оставить,358,130,0,0,0,0,162108,108997,67.2,7
