dish,top_group,group,me_class,verdict,units_standalone,units_inset_line,set_phantom_units,effective_units,n_sets,sets_structural,sets_behavioral,revenue_standalone,margin_standalone_est,margin_pct,recent3_units,months_active,orders,verdict_reason
Картофель по-деревенски,Закуски,Закуски,Звезда,Оставить,297,0,0,297,0,0,0,50277,38228,76.0,134,7,215,нормальная проходимость в рознице
Классический с тунцом,Роллы,Классические,Рабочая лошадка,Оставить,106,0,182,288,1,1,0,19362,12648,65.3,43,7,99,нормальная проходимость в рознице
Филадельфия темпура,Роллы,Жареные,Звезда,Оставить,106,0,182,288,1,1,0,40253,28605,71.1,57,7,97,нормальная проходимость в рознице
Chicken,Пицца,Пицца,Звезда,Оставить,287,0,0,287,0,0,0,220468,151239,68.6,139,7,269,нормальная проходимость в рознице
Калифорния с цыпленком,Роллы,Калифорния,Собака,Оставить,40,0,246,286,2,2,0,10778,7703,71.5,18,7,39,нормальная проходимость в рознице
Пепперони,Пицца,Пицца,Звезда,Оставить,277,0,0,277,0,0,0,229574,162501,70.8,121,7,259,нормальная проходимость в рознице
Динамит,Роллы,Фирменные роллы,Собака,Оставить,60,0,186,246,1,1,0,23078,18183,78.8,27,7,60,нормальная проходимость в рознице
Мидии запеченные  под соусом том-ям,Закуски,Закуски,Звезда,Оставить,244,0,0,244,0,0,0,67973,48294,71.0,104,7,176,нормальная проходимость в рознице
Креветка с угрем,Роллы,Фирменные роллы,Звезда,Оставить,101,0,136,237,1,1,0,46287,32921,71.1,53,7,100,нормальная проходимость в рознице
Запеченный с угрем,Роллы,Запеченные,Собака,Оставить,45,0,186,231,1,1,0,15559,11191,71.9,20,7,42,нормальная проходимость в рознице
Вайт чикен,Роллы,Фирменные роллы,Собака,Оставить,51,0,171,222,2,2,0,11363,8304,73.1,26,7,33,нормальная проходимость в рознице
Кензо,Роллы,Фирменные роллы,Собака,Оставить — несёт сеты,24,0,191,215,2,2,0,8761,5863,66.9,9,7,24,"в рознице слабо (24 шт), но проникновение в сеты: +191 шт, 2 сет(ов)"
Барбекю,Пицца,Пицца,Звезда,Оставить,203,0,0,203,0,0,0,155557,107030,68.8,100,7,196,нормальная проходимость в рознице
Филадельфия с копченым лососем,Роллы,Фирменные роллы,Звезда,Оставить,202,0,0,202,0,0,0,76906,51348,66.8,98,7,191,нормальная проходимость в рознице
Флори,Роллы,Фирменные роллы,Собака,Оставить — несёт сеты,16,0,186,202,1,1,0,6136,4372,71.2,8,7,16,"в рознице слабо (16 шт), но проникновение в сеты: +186 шт, 1 сет(ов)"
Хокусан,Роллы,Запеченные,Собака,Оставить,40,0,157,197,2,2,0,13751,8896,64.7,17,7,40,нормальная проходимость в рознице
Фруктовый микс,Роллы,сладкие роллы,Звезда,Оставить,197,0,0,197,0,0,0,66088,46912,71.0,84,7,192,нормальная проходимость в рознице
Горячий с лососем,Роллы,Жареные,Звезда,Оставить,145,0,49,194,1,1,0,47786,33093,69.3,77,7,137,нормальная проходимость в рознице
