period,metric_code,metric_name,article_or_source_row,amount,source_file,source_sheet,source_row,data_status,comment
2023-11,delivery_transport,Доставка / транспорт,Транспортные услуги,19700,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,74,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,below_ebitda_expenses,Расходы ниже EBITDA,Расходы ниже EBITDA,89758.23,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,124,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,other_expenses,Прочие расходы,Прочие расходы,0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,125,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,operating_profit,Операционная прибыль,Операционная прибыль,1031449.37,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,116,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,operating_margin_pct,Рентабельность по операционной прибыли,"Рентабельность по операционной прибыли, %",0.2761335877,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,117,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,net_profit,Чистая прибыль,Чистая прибыль,941691.14,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,132,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-11,fot_total,ФОТ всего,"ФОТ всего, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,136,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-11,fot_production,Производственный ФОТ,"Производственный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,137,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-11,fot_overhead,Общепроизводственный ФОТ,"Общепроизводственный ФОТ, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,138,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-11,fot_admin,Административный ФОТ,"Административный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,139,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-11,fot_commercial,Коммерческий ФОТ,"Коммерческий ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,140,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-11,rent_total,Аренда,Аренда торговой точки Гагарина; Аренда торговой точки Черникова; Аренда склада,154000,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,66+67+78,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
2023-11,delivery_total,Доставка / курьеры + транспорт,Траты на курьерскую службу; Транспортные услуги,324930,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72+74,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
2023-12,revenue,Выручка,Выручка,4742979.9500000002,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,4,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,revenue_gagarina_ex_discounts,Выручка без учета скидок Гагарина,Выручка без учета скидок Гагарина,2566206,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,5,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,revenue_gagarina_after_discounts,Выручка с учетом скидок Гагарина,Выручка с учетом скидок Гагарина,2422658,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,6,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,revenue_chernikova_ex_discounts,Выручка без учета скидок Черникова,Выручка без учета скидок Черникова,2558633,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,7,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,revenue_chernikova_after_discounts,Выручка с учетом скидок Черникова,Выручка с учетом скидок Черникова,2402212.3500000001,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,8,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,variable_expenses,Себестоимость / переменные расходы,Переменные,1875685,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,14,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,food_cost_chernikova,Food cost Черникова,Расход продуктов (фудкост) Черникова,933643,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,15,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,food_cost_gagarina,Food cost Гагарина,Расход продуктов (фудкост) Гагарина,942042,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,16,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,gross_profit,Валовая прибыль,Валовая прибыль,1961579.74,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,84,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,gross_margin_pct,Рентабельность по валовой прибыли,"Рентабельность по валовой прибыли, %",0.413575381,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,85,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,overhead_expenses,Общепроизводственные расходы,Общепроизводственные,875097.64,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,65,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,indirect_expenses,Косвенные расходы,Косвенные расходы,606915.36,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,87,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,admin_expenses,Административные расходы,Административные,242826,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,88,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,commercial_expenses,Маркетинг / коммерческие расходы,Коммерческие,364089.36,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,104,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,delivery_couriers,Доставка / курьеры,Траты на курьерскую службу,372640,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,delivery_transport,Доставка / транспорт,Транспортные услуги,22750,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,74,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,below_ebitda_expenses,Расходы ниже EBITDA,Расходы ниже EBITDA,122035,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,124,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,other_expenses,Прочие расходы,Прочие расходы,20000,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,125,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,operating_profit,Операционная прибыль,Операционная прибыль,1354664.3799999999,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,116,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,operating_margin_pct,Рентабельность по операционной прибыли,"Рентабельность по операционной прибыли, %",0.2856146124,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,117,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,net_profit,Чистая прибыль,Чистая прибыль,1232629.3799999999,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,132,available,Расходы в листе ОПиУ ведутся как положительные числа; год взят из Факт!A2.
2023-12,fot_total,ФОТ всего,"ФОТ всего, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,136,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-12,fot_production,Производственный ФОТ,"Производственный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,137,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-12,fot_overhead,Общепроизводственный ФОТ,"Общепроизводственный ФОТ, руб.",0,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,138,available,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-12,fot_admin,Административный ФОТ,"Административный ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,139,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-12,fot_commercial,Коммерческий ФОТ,"Коммерческий ФОТ, руб.",,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,140,not_populated_or_not_found,ФОТ в сводном ОПиУ не заполнен; денежные выплаты персоналу видны в ДДС.
2023-12,rent_total,Аренда,Аренда торговой точки Гагарина; Аренда торговой точки Черникова; Аренда склада,154000,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,66+67+78,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
2023-12,delivery_total,Доставка / курьеры + транспорт,Траты на курьерскую службу; Транспортные услуги,395390,"Копия ОПиУ — Переменные, Общепроизводственные, Косвенные • [ИП Шокина]",Факт,72+74,available,Агрегировано из строк ОПиУ; расходы в ОПиУ положительные.
