№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
26,Стол разделочный с бортом 120х60 см,,"3,00",13 650,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,12.05.2020,5,40 950,10,117,,0,,0,,0,,,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,-350,105,36 750,0,40 600,40 250,39 900,39 550,39 200,38 850,38 500,38 150,37 800,37 450,37 100,36 750,,
27,Стелаж 260х79х49,,"1,00",8 775,Технический директор,Склад Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,8 775,10,117,,0,,0,,0,,,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,-75,105,7 875,0,8 700,8 625,8 550,8 475,8 400,8 325,8 250,8 175,8 100,8 025,7 950,7 875,,
28,Вытяжной зонт 123х50,,"1,00",4 904,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,4 904,13,153,,0,,0,,0,,,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,-32,141,4 519,0,4 872,4 840,4 808,4 776,4 744,4 712,4 680,4 648,4 616,4 583,4 551,4 519,,
29,Вытяжной зонт 150х60,,"1,00",8 827,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,8 827,13,153,,0,,0,,0,,,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,-58,141,8 135,0,8 769,8 712,8 654,8 596,8 539,8 481,8 423,8 365,8 308,8 250,8 192,8 135,,
30,Вентилятор радиальный BP8075 с асинхронным двигатилем 1Ф IP 55,,"1,00",23 438,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,23 438,4,45,,0,,0,,0,,,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,-521,33,17 188,0,22 917,22 396,21 875,21 355,20 834,20 313,19 792,19 271,18 750,18 230,17 709,17 188,,
31,Мойка 2 секция,,"2,00",9 722,Технический директор,ТЗ Гагарина,Вспомогательное оборудование,01.01.2025,1,21.12.2020,12,19 444,9,105,,0,,0,,0,,,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,-185,93,17 222,0,19 259,19 074,18 888,18 703,18 518,18 333,18 148,17 963,17 777,17 592,17 407,17 222,,
32,Овощерезка Airhot VC- 300,,"1,00",39 048,Технический директор,ТЗ Гагарина,Электромеханическое оборудование,01.01.2025,1,19.01.2023,1,39 048,7,82,,0,,0,,0,,,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,-476,70,33 334,0,38 572,38 096,37 619,37 143,36 667,36 191,35 715,35 238,34 762,34 286,33 810,33 334,,
33,Морозильная ларь Бирюса 200VK,,"1,00",10 450,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,10.03.2020,3,10 450,5,57,,0,,0,,0,,,-183,-183,-183,-183,-183,-183,-183,-183,-183,-183,-183,-183,45,8 250,0,10 267,10 083,9 900,9 717,9 533,9 350,9 167,8 983,8 800,8 617,8 433,8 250,,
34,Морозильный ларь Pozis FH-250-1,,"1,00",24 107,Технический директор,ТЗ Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,10.03.2020,3,24 107,7,81,,0,,0,,0,,,-298,-298,-298,-298,-298,-298,-298,-298,-298,-298,-298,-298,69,20 536,0,23 809,23 512,23 214,22 917,22 619,22 321,22 024,21 726,21 428,21 131,20 833,20 536,,
35,Морозильная ларь Frostor F500S 135х78х62,,"2,00",30 857,Технический директор,Склад Гагарина,Холодильное/морозильное оборудование,01.01.2025,1,21.12.2020,12,61 714,7,81,,0,,0,,0,,,-762,-762,-762,-762,-762,-762,-762,-762,-762,-762,-762,-762,69,52 571,0,60 952,60 190,59 428,58 666,57 904,57 143,56 381,55 619,54 857,54 095,53 333,52 571,,
