№,Наименование,Инв. № ,Кол-во ОС,Цена ед.,Ответственный,Помещение,Тип ОС,Дата введения ,Месяц введения в эксплуатацию,Дата покупки или постановки,Месяц покупки,Текущая стоимость,Срок полезного использования (лет),Срок полезного использования (месяц),Переоценка ОС,Сумма,дата переоценки,Месяц переоценки,Дата продажи,Месяц продажи,цена продажи,Количество Проданных ОС,1,2,3,4,5,6,7,8,9,10,11,12,Оставшийся срок ПИ,Оставшаяся стоимость,Прибыль/убыток от продажи,1,2,3,4,5,6,7,8,9,10,11,12,Год покупки,Сумма проданного
131,Телефон IP Gigaset C530A без базы,,"1,00","6 563,00 ₽",Технический директор,Ф-л Черникова,Оборудование торговых залов,01.01.2025,1,21.12.2020,12,6 563,4,45,,0,,0,,0,,,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,-146,33,4 813,0,6 417,6 271,6 125,5 980,5 834,5 688,5 542,5 396,5 250,5 105,4 959,4 813,,
132,Стол офисный,,"1,00","10 000,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,23.12.2023,12,10 000,10,120,,0,,0,,0,,,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,-83,108,9 000,0,9 917,9 833,9 750,9 667,9 583,9 500,9 417,9 333,9 250,9 167,9 083,9 000,,
133,Рисоварка INDOKOR IR-1985,,"1,00","22 422,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,11.06.2024,6,22 422,1,12,,0,,0,,0,,,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,-1 869,0,0,0,20 554,18 685,16 817,14 948,13 080,11 211,9 343,7 474,5 606,3 737,1 869,0,,
134,Рисоварка INDOKOR IR-1954,,"1,00","13 500,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,02.08.2024,8,13 500,1,12,,0,,0,,0,,,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,-1 125,0,0,0,12 375,11 250,10 125,9 000,7 875,6 750,5 625,4 500,3 375,2 250,1 125,0,,
135,Машина вакуумной упаковки камерная EKSI EDZ-260,,"1,00","65 500,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,23.08.2024,8,65 500,5,60,,0,,0,,0,,,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,-1 092,48,52 400,0,64 408,63 317,62 225,61 133,60 042,58 950,57 858,56 767,55 675,54 583,53 492,52 400,,
136,Миксер погружной JAU IB 160 V.V,,"1,00","14 600,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,26.07.2024,7,14 600,2,24,,0,,0,,0,,,-608,-608,-608,-608,-608,-608,-608,-608,-608,-608,-608,-608,12,7 300,0,13 992,13 383,12 775,12 167,11 558,10 950,10 342,9 733,9 125,8 517,7 908,7 300,,
137,Рисоварка INDOKOR IR-1954,,"2,00","13 500,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,07.08.2024,8,27 000,1,12,,0,,0,,0,,,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,-2 250,0,0,0,24 750,22 500,20 250,18 000,15 750,13 500,11 250,9 000,6 750,4 500,2 250,0,,
138,Весы бытовые PW 300 40*50 с аккумулятором 4V/4.5Ah,,"1,00","5 000,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,14.08.2024,8,5 000,1,12,,0,,0,,0,,,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,0,0,0,4 583,4 167,3 750,3 333,2 917,2 500,2 083,1 667,1 250,833,417,0,,
139,Весы торговые ФорТ-Т 769 (15; 2) LED/LCD Маркет (без стойки),,"1,00","5 000,00 ₽",Технический директор,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,15.08.2024,8,5 000,1,12,,0,,0,,0,,,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,-417,0,0,0,4 583,4 167,3 750,3 333,2 917,2 500,2 083,1 667,1 250,833,417,0,,
140,Водонагреватель,,"1,00","17 200,00 ₽",Директор по развитию,Ф-л Черникова,Вспомогательное оборудование,01.01.2025,1,13.11.2024,11,17 200,3,36,,0,,0,,0,,,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,-478,24,11 467,0,16 722,16 244,15 767,15 289,14 811,14 333,13 856,13 378,12 900,12 422,11 944,11 467,,
141,Рисоварка HURAKAN HKN-SR56M,,"1,00","14 816,00 ₽",Директор по развитию,Ф-л Черникова,Тепловое оборудование,01.01.2025,1,04.12.2024,12,14 816,1,12,,0,,0,,0,,,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,-1 235,0,0,0,13 581,12 347,11 112,9 877,8 643,7 408,6 173,4 939,3 704,2 469,1 235,0,,
142,"Мясорубка Reoka RKMG-MA221,",,"1,00","10 599,00 ₽",Технический директор,Ф-л Черникова,Электромеханическое оборудование,01.01.2025,1,22.10.2024,10,10 599,4,48,,0,,0,,0,,,-221,-221,-221,-221,-221,-221,-221,-221,-221,-221,-221,-221,36,7 949,0,10 378,10 157,9 937,9 716,9 495,9 274,9 053,8 833,8 612,8 391,8 170,7 949,,
143,Лавочка уличная ,,"1,00","6 000,00 ₽",Технический директор,Ф-л Черникова,Мебель и предметы интерьера,01.01.2025,1,10.10.2024,10,6 000,10,120,,0,,0,,0,,,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,-50,108,5 400,0,5 950,5 900,5 850,5 800,5 750,5 700,5 650,5 600,5 550,5 500,5 450,5 400,,
144,Рисоварка INDOKOR IR-1954 Б/У,,"1,00","5 000,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,09.04.2025,4,07.03.2025,3,5 000,"0,5",6,,0,,0,,0,,,0,0,0,0,-833,-833,-833,-833,-833,-833,0,0,0,0,0,0,0,0,5 000,4 167,3 333,2 500,1 667,833,0,0,0,,
145,Рисоварка HURAKAN HKN-SR56M,,"2,00","13 436,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,09.04.2025,4,20.03.2025,3,26 872,1,12,,0,,0,,0,,,0,0,0,0,-2 239,-2 239,-2 239,-2 239,-2 239,-2 239,-2 239,-2 239,4,8 957,0,0,0,0,26 872,24 633,22 393,20 154,17 915,15 675,13 436,11 197,8 957,,
146,холодильник NORD NS 86 AW,,"1,00","14 167,00 ₽",Технический директор,Ф-л Черникова,Холодильное/морозильное оборудование,21.07.2025,7,18.07.2025,7,14 167,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,14 167,0,0,0,0,0,0,0,14 167,14 167,14 167,14 167,14 167,14 167,,
147,Гриль саламандра AIRHOT SGE-938,,"1,00","15 380,00 ₽",Технический директор,Ф-л Черникова,Тепловое оборудование,24.07.2025,7,23.07.2025,7,15 380,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15 380,0,0,0,0,0,0,0,15 380,15 380,15 380,15 380,15 380,15 380,,
148,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
149,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
150,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
151,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
152,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
153,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
154,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
154,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,0,,0,0,,0,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,0,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
