 Регистрация категорий,,,,,Особоые условия по депозитам (Для внештатников проставь НУЛИ),,,,Выдача депозитов,,,,Регистрация вступления в должность старших поваров,,,,Регистрация штрафов и премий,,,,
Дата постановки на категорию,Имя сотрудника,Должность,Категория,,Имя сотрудника,Требуемый депозит (указать при особых условиях),Сумма удержания (указать при особых условиях),,Имя сотрудника,Депозит при уволнении,Коэффициент выдачи ,,Дата вступления в должность,Имя сотрудника,Надбавка,,Дата,Имя сотрудника,Сумма,Вид начисления/списания,[redacted_comment]
08.01.2025,employee_b5882a32e7,Сушист,2,,,,,,,,,,,,,,05.06.2025,employee_3c4a629691,250,Премия,[redacted_comment]
08.01.2025,employee_1570ccae80,Шаурмист,4,,,,,,,,,,,,,,05.06.2025,employee_9747b9d844,493,Штрафы и удержания,[redacted_comment]
23.01.2025,employee_abbce1b7b8,Сушист,6,,,,,,,,,,,,,,05.06.2025,employee_908545f9b4,122,Штрафы и удержания,[redacted_comment]
23.01.2025,employee_3a96201e66,Пиццерист,1,,,,,,,,,,,,,,05.06.2025,employee_e8704c7b8f,192,Штрафы и удержания,[redacted_comment]
28.01.2025,employee_a14ab1c5e9,Сушист,5,,,,,,,,,,,,,,07.06.2025,employee_445cbb2a20,45,Штрафы и удержания,[redacted_comment]
12.02.2025,employee_1570ccae80,Пиццерист,3,,,,,,,,,,,,,,09.06.2025,employee_abf859686b,500,Премия,[redacted_comment]
05.02.2025,employee_0d69a79a1b,Сушист,5,,,,,,,,,,,,,,09.06.2025,employee_3c4a629691,500,Премия,[redacted_comment]
12.02.2025,employee_5a3e1adb3f,Пиццерист,2,,,,,,,,,,,,,,09.06.2025,employee_445cbb2a20,700,Премия,[redacted_comment]
20.02.2025,employee_62c77ec038,Заготовщик,5,,,,,,,,,,,,,,06.06.2025,employee_dfa826d51c,3500,Премия,[redacted_comment]
25.02.2025,employee_b20c9e8ecf,Сушист,5,,,,,,,,,,,,,,07.06.2025,employee_dfa826d51c,3500,Премия,[redacted_comment]
27.02.2025,employee_f263eb2cbd,Сушист,5,,,,,,,,,,,,,,11.06.2025,employee_7448260c20,700,Премия,[redacted_comment]
05.03.2025,employee_b20c9e8ecf,Сушист,3,,,,,,,,,,,,,,11.06.2025,employee_abf859686b,700,Премия,[redacted_comment]
06.03.2025,employee_b66d18b5be,Сушист,5,,,,,,,,,,,,,,13.06.2025,employee_3fa5f3a2b5,250,Премия,[redacted_comment]
