sheet_name,cell,formula,formula_type,shared_ref
Штат,C4,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A4,'Категории и надбавки'!C:C=B4),1,FALSE),1,4),"""""""")""),1.0)",,
Штат,D4,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A4&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A4&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K4,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J4="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J4),1,1),1,1))""),1.0)",,
Штат,L4,"IF(J4="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J4)+SUMIF('Исходные данные'!$AA$3:$AA937,J4,'Исходные данные'!$AB$3:$AB937))",,
Штат,O4,,shared,
Штат,C5,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A5,'Категории и надбавки'!C:C=B5),1,FALSE),1,4),"""""""")""),3.0)",,
Штат,D5,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A5&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A5&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K5,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J5="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J5),1,1),1,1))""),3.0)",,
Штат,L5,"IF(J5="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J5)+SUMIF('Исходные данные'!$AA$3:$AA937,J5,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J5))",,
Штат,O5,,shared,
Штат,C6,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A6,'Категории и надбавки'!C:C=B6),1,FALSE),1,4),"""""""")""),2.0)",,
Штат,D6,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A6&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A6&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K6,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J6="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J6),1,1),1,1))""),2.0)",,
Штат,L6,"IF(J6="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J6)+SUMIF('Исходные данные'!$AA$3:$AA937,J6,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J6))",,
Штат,O6,,shared,
Штат,C7,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A7,'Категории и надбавки'!C:C=B7),1,FALSE),1,4),"""""""")""),5.0)",,
Штат,D7,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(
  IF(
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A7&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        1, FALSE
      ),
      1, ""&""2
    ) = """"Снят с должности"""",
    """""""",
    INDEX(
      SORT(
        QUERY(
          'Категории и надбавки'!$N$3:$P937,
          """"select N, P where O = '""""&A7&""""' and N <= date '""""&TEXT(TODAY(),""""yyyy-MM-dd"""")&""""'"""",
          0
        ),
        ""&""1, FALSE
      ),
      1, 2
    )
  ),
  """"""""
)
""),"""")",,
Штат,K7,"IFERROR(__xludf.DUMMYFUNCTION(""IF(J7="""""""","""""""",INDEX(SORT(FILTER($C$3:$C937,$A$3:$A937=J7),1,1),1,1))""),1.0)",,
Штат,L7,"IF(J7="""","""", SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит удержание"",'Выгрузка'!$C:$C,J7)+SUMIF('Исходные данные'!$AA$3:$AA937,J7,'Исходные данные'!$AB$3:$AB937)-SUMIFS('Выгрузка'!$B:$B,'Выгрузка'!$F:$F,""Депозит возврат"",'Выгрузка'!$C:$C,J7))",,
Штат,O7,,shared,
Штат,C8,"IFERROR(__xludf.DUMMYFUNCTION(""IFERROR(INDEX(SORT(FILTER('Категории и надбавки'!A:D,'Категории и надбавки'!A:A<=TODAY(),'Категории и надбавки'!B:B=A8,'Категории и надбавки'!C:C=B8),1,FALSE),1,4),"""""""")""),1.0)",,
